nr,SessionID,Activity,Trial,ROI start,ROI end,Notes
,,nsdj,l1,4.76,5.21,
,,nsdj,l2,5.09,5.50,
,,nsdj,l3,5.18,5.58,
,,nsdj,r1,5.85,6.37,
,,nsdj,r2,,,"no jump, re-record missing"
,,nsdj,r3,5.58,6.04,
,5323923b-8fc6-4fed-bf31-a0e5a74c4583,nrc,l1,2.13,2.50,
,,nrc,l1_1,6.08,6.42,
,,nrc,l2,6.34,6.69,
,,nrc,l3,6.78,7.18,
,,nrc,r1,5.63,5.99,
,,nrc,r2,5.70,6.17,L/R Synced
,,nrc,r3,6.57,6.91,
,,nsdj,l1,5.06,5.49,
,,nsdj,l2,5.55,5.97,
,,nsdj,l3,4.33,4.78,
,,nsdj,r1,5.89,6.32,
,,nsdj,r2,5.33,5.76,
,,nsdj,r3,5.21,5.64,
,,crc,l1,6.74,7.36,
,,crc,l2,5.97,6.62,
,,crc,l3,7.25,7.88,
,,crc,r1,6.81,7.44,
,,crc,r2,,,L/R Synced
,,crc,r3,6.16,6.82,
,,csdj,l1,3.25,3.90,
,,csdj,l2,5.44,5.92,
,,csdj,l3,,,C/R Synced
,,csdj,r1,,,no jump
,,csdj,r1_1,5.49,6.02,
,,csdj,r2,5.70,6.23,
,,csdj,r3,5.33,5.90,
TRT_SIM_09,a846770e-9da1-4a42-a128-b615dcebe495,nrc,l1,4.84,5.11,
,,nrc,l1_1,5.14,5.47,
,,nrc,l2,,,C/R Synced
,,nrc,l3,4.74,5.07,
,,nrc,r1,4.88,5.18,
,,nrc,r1_1,5.45,5.75,
,,nrc,r2,4.93,5.25,
,,nrc,r3,,,L/R Synced
,,nsdj,l1,4.79,5.23,
,,nsdj,l2,5.08,5.53,
,,nsdj,l3,,,all 3 cameras didnt upload
,,nsdj,r1,5.22,5.70,
,,nsdj,r2,5.61,6.06,
,,nsdj,r3,5.16,5.63,
,42c0f4e5-f089-485f-b741-92e99d224101,nrc,l1,4.67,4.95,
,,nrc,l2,,,didnt upload
,,nrc,l2_1,8.80,9.12,
,,nrc,l3,,,C/R Synced
,,nrc,r1,5.27,5.58,
,,nrc,r2,4.70,4.97,
,,nrc,r3,,,C/L Synced
,,nsdj,l1,4.64,5.10,
,,nsdj,l2,5.17,5.68,
,,nsdj,l3,4.75,5.23,
,,nsdj,r1,4.32,4.81,
,,nsdj,r2,4.84,5.34,
,,nsdj,r3,4.07,4.54,
,,crc,l1,5.32,5.83,
,,crc,l2,,,Not synced
,,crc,l3,,,not synced 
,,crc,r1,5.99,6.50,
,,crc,r2,5.28,5.73,
,,crc,r3,5.61,6.11,
,,csdj,l1,4.62,5.20,
,,csdj,l2,4.90,5.52,
,,csdj,l3,4.24,4.81,
,,csdj,r1,5.11,5.82,
,,csdj,r2,4.19,4.81,
,,csdj,r3,4.38,5.05,
TRT_SIM_10,1c3a7fd8-b477-42e4-8482-d59038793c3f,nrc,l1,4.91,5.17,
,,nrc,l2,,,L/R Synced
,,nrc,l3,5.25,5.53,
,,nrc,r1,5.26,5.58,
,,nrc,r2,5.07,5.31,
,,nrc,r3,4.98,5.22,
,,nsdj,l1,6.76,7.16,
,,nsdj,l2,7.00,7.33,
,,nsdj,l3,5.92,6.30,
,,nsdj,r1,6.20,6.57,
,,nsdj,r2,6.15,6.59,
,,nsdj,r3,6.63,7.00,
, 3ae34564-1883-4536-b298-4d12dbcecfe3,nrc,l1,5.99,6.20,
,,nrc,l2,5.59,5.81,
,,nrc,l3,,,not synced
,,nrc,r1,,,not synced
,,nrc,r2,,,L/R Synced
,,nrc,r3,5.90,6.16,
,,nsdj,l1,5.81,6.15,
,,nsdj,l2,4.90,5.25,
,,nsdj,l3,6.62,7.00,
,,nsdj,r1,6.18,6.56,
,,nsdj,r2,,,L/R Synced
,,nsdj,r3,4.88,5.19,
,,crc,l1,,,"L/R Synced, C barely off"
,,crc,l2,,,L/R Synced
,,crc,l2_1,9.43,9.93,
,,crc,l3,,,not synced
,,crc,r1,7.29,7.70,
,,crc,r2,7.00,7.40,
,,crc,r3,6.81,7.34,
,,csdj,l1,7.42,7.94,
,,csdj,l2,6.88,7.31,
,,csdj,l3,6.70,7.17,
,,csdj,r1,6.17,6.63,
,,csdj,r2,7.55,8.08,
,,csdj,r3,6.64,7.13,
TRT_SIM_S11,438461d4-f466-4789-a6a5-98455e77137c,nrc,l1,4.85,5.25,
,,nrc,l2,4.90,5.26,
,,nrc,l3,5.31,5.71,
,,nrc,r1,,,no attempt
,,nrc,r1_1,5.10,5.52,
,,nrc,r2,5.38,5.73,
,,nrc,r3,5.15,5.54,
,,nsdj,l1,7.10,7.50,
,,nsdj,l2,5.43,5.85,
,,nsdj,l3,6.10,6.51,
,,nsdj,r1,5.88,6.25,
,,nsdj,r2,5.31,5.75,
,,nsdj,r3,5.18,5.57,
TRT_SIM_S12,592b9a70-4e12-436d-aa8b-fff00fcaf1a3,nrc,l1,6.54,6.88,
,,nrc,l2,5.90,6.27,
,,nrc,l3,,,poor cut
,,nrc,l3_1,5.95,6.36,
,,nrc,r1,,,poor cut
,,nrc,r1_1,5.11,5.68,
,,nrc,r2,,,L/R Synced
,,nrc,r3,,,L/R Synced
,,nsdj,l1,4.92,5.35,
,,nsdj,l2,7.31,7.77,
,,nsdj,l3,5.58,6.00,
,,nsdj,r1,5.55,5.98,
,,nsdj,r2,4.76,5.17,
,,nsdj,r3,5.02,5.45,
